"Fraction of incident light reflected back at flat water surface for a given solar zenith angle (Theta_z_deg); from Kirk (2001), Table 2.1"	
Theta_z_deg	Reflectance
0	0.02
5	0.02
10	0.02
15	0.02
20	0.02
25	0.021
30	0.021
35	0.022
40	0.024
45	0.028
50	0.033
55	0.043
60	0.059
65	0.086
70	0.133
75	0.211
80	0.347
85	0.583
87.5	0.761
89	0.896
