"","match_ID","compound_name","elem_formula","LOBdbase_mz","peakgroup_mz","LOBdbase_ppm_match","peakgroup_rt","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rtmin","peakgroup_rtmax","samples","LMG1401_004_QE003116","LMG1401_008_QE003117","LMG1401_009_QE003118","LMG1401_010_QE003119","PAL1314_Stn_E_3m_2Jan14_0.2um_QE003120","xcms_peakgroup","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","iso_C3r.match_ID","iso_C3f.match_ID","iso_C3c.match_ID","ms2_conf","ms2_present","neg_mode.conf","rm.flag_auto","rm.flag_manual"
"1784",915,"PG 34:2","C40H75O10P1",764.5436113,764.544145678859,-0.698951440950889,845.912494891541,764.544034008047,764.544176426464,844.658188861923,846.385945048514,5,114.632415485508,45.3289846072506,60.1865975811373,60.5775304655703,52.9025381597233,12930,39,29289,746.50978571,"IP_DAG","PG","[M+NH4]+",34,2,0,0,0,1,0,1,1,0,0,0,0,0,"C2a; C3c; C3f","","915, 959, 960","915, 916, 959, 960",NA,0,1,NA,0
"5610",937,"PC 38:9","C46H74N1O8P1",800.5224819,800.520541537854,2.42386964691031,841.712818949782,800.52042974211,800.536899403552,840.145644043248,843.16909197681,5,34.6433613583619,5.81292333962223,0.347648867897235,6.20769548232392,3.4224423968452,14305,39,37877,799.51520544,"IP_DAG","PC","[M+H]+",38,9,0,1,0,0,0,1,0,1,0,0,0,0,"C1; C3c; C3r","937, 2492, 2941","","937, 938",3,3,0,0,NA
"1971",969,"PC 38:7","C46H78N1O8P1",804.55378206,804.554291016425,-0.632594658695969,841.809821363071,804.554262419666,804.554375890751,839.299772996287,843.643803318303,5,108.343333591948,18.2350262489873,28.4793466004224,19.6623192482238,6.43752592718507,14464,39,37827,803.5465056,"IP_DAG","PC","[M+H]+",38,7,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","968, 969","",19,19,1,0,NA
"1705",982,"PE 32:0","C37H74N1O8P1",692.5224819,692.523176736187,-1.0033409825814,940.218674122985,692.523138078178,692.523336870865,939.63460477663,940.834475497532,5,23.7827060750758,37.0185486113067,27.4557498221062,26.5168008887915,19.7418284954722,10221,40,21707,691.51520544,"IP_DAG","PE","[M+H]+",32,0,0,0,0,1,0,0,1,1,0,0,0,0,"C2a; C3f; C3r","982, 3028","982, 983","",NA,0,1,NA,0
"1871",985,"PC 31:3","C39H72N1O8P1",714.50683182,714.505257092972,2.20393557937623,939.149201309132,714.505146330952,714.505353558827,937.339196429105,940.218674122985,4,1.8602175034251,3.69668104419987,2.88340143383531,2.62374955550909,2.26240943759103,11029,40,36102,713.49955536,"IP_DAG","PC","[M+H]+",31,3,0,0,0,1,0,0,1,0,0,0,0,0,"C2a; C3f","","984, 985","",NA,0,1,NA,0
"761",996,"PC 36:4","C44H80N1O8P1",782.56943214,782.570503910446,-1.36955316925144,941.892822679545,782.570049371888,782.570626535483,939.63460477663,942.432668836607,3,15.2784492458811,4.6001216104951,6.68805626709542,4.65344251404358,3.93431267496839,13602,40,37252,781.56215568,"IP_DAG","PC","[M+H]+",36,4,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","996, 2300, 4263","995, 996","",2,2,1,0,NA
"2413",1029,"SQDG 34:0","C43H82O12S1",840.586525,840.586323196926,0.240074124018117,936.930614524905,840.586219047819,840.586717506013,935.099045644082,937.932941555609,4,1.61151634552595,2.01676306609876,3.01532588846115,2.63733307571795,0.774276582137144,15892,40,45579,822.55269941,"IP_DAG","SQDG","[M+NH4]+",34,0,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","","",NA,0,1,NA,0
"2581",1038,"SQDG 38:2","C47H86O12S1",892.61782516,892.617904716283,-0.0891269255614016,945.811599175782,892.614416565432,892.618182790298,942.68552782566,946.885266979596,4,12.7014837503134,1.9592126489284,2.96025937027992,2.84845357419643,0,17896,40,46809,874.58399957,"IP_DAG","SQDG","[M+NH4]+",38,2,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","","",NA,0,1,NA,0
"1392",1109,"MGDG 44:2","C53H98O10",912.74982571,912.749748924544,0.0841254129751477,1062.84053540319,912.749189239586,912.750308609502,1062.67510491589,1063.0059658905,2,11.3129172698869,2.02113318229261,0.626026648113503,0.603048658826367,0.629517786430929,18720,43,55605,894.71600012,"IP_DAG","MGDG","[M+NH4]+",44,2,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","1109, 3980","1107, 1108, 1109, 1110","",NA,0,1,NA,0
"1919",1156,"DGTS_DGTA 38:4","C48H85N1O7",788.63988121,788.639820899354,0.0764742533315845,1076.2197448475,788.639144517517,788.64049728119,1076.02828492821,1076.41120476679,2,12.200238876355,NA,NA,NA,NA,13852,47,16626,787.63260475,"IP_DAG","DGTS_DGTA","[M+H]+",38,4,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","223, 1156","1156, 1157","",NA,0,1,NA,0
