"","match_ID","compound_name","elem_formula","LOBdbase_mz","peakgroup_mz","LOBdbase_ppm_match","peakgroup_rt","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rtmin","peakgroup_rtmax","cultures","QC","Marchetti_diatom_culture_extract_A_act_1_QE002909","Marchetti_diatom_culture_extract_A_act_2_QE002910","Marchetti_diatom_culture_extract_Ch_sp_DNA_QE002911","Marchetti_diatom_culture_extract_F_cyl_1_QE002907","Marchetti_diatom_culture_extract_F_cyl_1_QE002908","Marchetti_diatom_culture_extract_Thalass_1_QE002905","Marchetti_diatom_culture_extract_Thalass_2_QE002906","QC_QE002903","QC_QE002915","xcms_peakgroup","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","iso_C3r.match_ID","iso_C3f.match_ID","iso_C3c.match_ID","ms2_conf","ms2_present","neg_mode.conf","rm.flag_auto","rm.flag_manual"
"1856",3183,"DGDG 26:6","C41H64O15",814.45834745,814.459618847769,-1.56103473273161,765.326012928981,814.45960906154,814.459628633998,764.569196764404,766.082829093558,2,0,6.62265237158583,3.45271695965355,0.700585697478483,2.02596133231121,0,0,0,0,0,13084,1739,7502,796.42452186,"IP_DAG","DGDG","[M+NH4]+",26,6,0,1,0,0,0,0,0,1,0,0,0,0,"C1; C3r","1806, 3183","","",NA,0,0,NA,0
"1870",3196,"PE 29:1","C34H66N1O8P1",648.45988158,648.459879417694,0.00333452605857012,824.057303176781,648.459868303942,648.459890531445,823.479556815629,824.635049537932,2,0,0,0,0.325229751501131,0,0,44.7467423569497,29.6820370155356,0,0,6811,1825,21132,647.45260512,"IP_DAG","PE","[M+H]+",29,1,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3196, 3197, 3198","",4,4,1,NA,0
"10365",3213,"PG 33:1","C39H75O10P1",752.5436113,752.542726064114,1.17632502983783,828.259195971576,752.542426486973,752.543025641255,826.424957799176,830.093434143975,2,0,0.088675104342995,0.0764056141300352,0,0.493640265580849,6.81154785897058,0.0608450532067949,0.0282303176779145,0,0,10365,1855,28989,734.50978571,"IP_DAG","PG","[M+NH4]+",33,1,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","1714, 3213","3212, 3213, 3214","",NA,0,0,NA,0
"1893",3232,"DGTS_DGTA 33:2","C43H79N1O7",722.59293097,722.59374470493,-1.1261318726112,1036.23469402696,722.59221700793,722.593796214021,1034.19689226876,1045.31583710005,3,0,0.0151547604830182,0.0194120323453556,0.0487288539962467,0.0429385599445377,0.030043203021835,1.24537559852861,0.944173836690414,0,22900.2822724609,9258,2006,15376,721.58565451,"IP_DAG","DGTS_DGTA","[M+H]+",33,2,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","3232, 4517","3232, 3233","",NA,0,0,NA,0
"2247",3278,"PC 43:1","C51H100N1O8P1",886.72593294,886.725149571138,0.883439666241347,1032.55797329631,886.724807635071,886.725397856158,1031.76999030552,1033.99271659995,4,0,0.172396762596941,0.131665568752152,0,0,0,0.409096843032509,0.367140680427521,0,0,16970,2079,39002,885.71865648,"IP_DAG","PC","[M+H]+",43,1,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3277, 3278","",NA,0,0,NA,0
"1948",3308,"SQDG 23:4","C32H52O12S1",678.3517738,678.35177856106,-0.00701857126596716,734.652314549095,678.351748044938,678.351809077182,734.024452116455,735.280176981735,2,0,0,0,0,0,0,2.36673063074493,2.19859372621651,0,0,7711,2217,43329,660.31794821,"IP_DAG","SQDG","[M+NH4]+",23,4,0,1,0,0,0,0,0,0,0,0,0,0,"C1","","","",NA,0,0,NA,0
"1973",3336,"DGTS_DGTA 37:2","C47H87N1O7",778.65553129,778.656010334143,-0.615219598576659,1091.27618009191,778.655644805408,778.65651474732,1088.31718579955,1092.22833514977,4,0,0.0153088093667242,0.0120181251722662,0,0.0394099559635787,0.12837658769907,0.695728018715623,0.504575624745535,0,0,11436,2349,16351,777.64825483,"IP_DAG","DGTS_DGTA","[M+H]+",37,2,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3336, 3337","",NA,0,0,NA,0
"3171",3368,"MGDG 46:5","C55H96O10",934.73417563,934.733728481891,0.478369274208627,1090.90803127957,934.733147547711,934.734309416071,1089.95297821377,1091.86308434538,2,0,0.0168290028655014,0,0.115932925691018,0,0,148.316695217607,89.1792989429438,0,0,19452,2417,56230,916.70035004,"IP_DAG","MGDG","[M+NH4]+",46,5,0,1,0,0,0,0,1,0,0,0,0,0,"C1; C3f","","3366, 3367, 3368, 3369","",NA,0,1,NA,0
"2276",3376,"SQDG 46:1","C55H104O12S1",1006.75867588,1006.757791004,0.878935562243992,1094.77437925183,1006.75747366338,1006.75810834461,1094.44486538599,1095.10389311768,2,0,0,0,5.82382953397404,0,1.21359693871388,6.11497554534438,3.72426629467442,0,0,22526,2445,49299,988.72485029,"IP_DAG","SQDG","[M+NH4]+",46,1,0,1,0,0,0,1,0,0,0,0,0,0,"C1; C3c","","","3375, 3376",NA,0,1,NA,0
"11038",3407,"DGTS_DGTA 35:0","C45H87N1O7",754.65553129,754.65574948841,-0.289136435542941,1104.20517065617,754.655681698821,754.656042359653,1103.25422721319,1105.1193036822,3,0,0.0136444321835979,0.00584930299816989,0.0193544329741676,0.061163868919012,0.022921226774709,0.404804357801162,0.482663804656124,86073.2525213225,36875.19330874,10454,2676,15801,753.64825483,"IP_DAG","DGTS_DGTA","[M+H]+",35,0,0,1,0,0,0,0,1,1,0,0,0,0,"C1; C3f; C3r","3407, 3954","3407, 3408","",NA,0,0,NA,0
