Batch,scan006
EV300,140607
Data Mode,%T  None
Sample,Mylar_%T_190-800
Cycle,Cycle01
Date Collected,7/28/2016
Time Collected,2:29:24PM
Entries,Data Points
nm,%T
259.00,0.0059
259.20,0.0020
259.40,0.0031
259.60,0.0027
259.80,0.0024
260.00,0.0016
260.20,0.0018
260.40,0.0027
260.60,0.0029
260.80,0.0015
261.00,0.0038
261.20,0.0035
261.40,0.0035
261.60,0.0022
261.80,0.0046
262.00,0.0050
262.20,0.0021
262.40,0.0034
262.60,0.0045
262.80,0.0054
263.00,0.0019
263.20,0.0042
263.40,0.0059
263.60,0.0008
263.80,0.0004
264.00,0.0060
264.20,0.0028
264.40,0.0000
264.60,0.0015
264.80,0.0038
265.00,0.0057
265.20,0.0058
265.40,0.0057
265.60,0.0055
265.80,0.0055
266.00,0.0059
266.20,0.0038
266.40,0.0057
266.60,0.0069
266.80,0.0033
267.00,0.0040
267.20,0.0053
267.40,0.0037
267.60,0.0044
267.80,0.0045
268.00,0.0058
268.20,0.0060
268.40,0.0053
268.60,0.0071
268.80,0.0060
269.00,0.0042
269.20,0.0089
269.40,0.0039
269.60,0.0065
269.80,0.0069
270.00,0.0050
270.20,0.0055
270.40,0.0039
270.60,0.0059
270.80,0.0047
271.00,0.0056
271.20,0.0055
271.40,0.0050
271.60,0.0036
271.80,0.0052
272.00,0.0040
272.20,0.0037
272.40,0.0053
272.60,0.0047
272.80,0.0059
273.00,0.0048
273.20,0.0049
273.40,0.0062
273.60,0.0047
273.80,0.0054
274.00,0.0044
274.20,0.0068
274.40,0.0050
274.60,0.0061
274.80,0.0052
275.00,0.0066
275.20,0.0066
275.40,0.0052
275.60,0.0057
275.80,0.0066
276.00,0.0066
276.20,0.0059
276.40,0.0068
276.60,0.0057
276.80,0.0067
277.00,0.0056
277.20,0.0083
277.40,0.0066
277.60,0.0062
277.80,0.0075
278.00,0.0069
278.20,0.0076
278.40,0.0060
278.60,0.0070
278.80,0.0057
279.00,0.0065
279.20,0.0060
279.40,0.0070
279.60,0.0072
279.80,0.0065
280.00,0.0071
280.20,0.0074
280.40,0.0070
280.60,0.0072
280.80,0.0084
281.00,0.0081
281.20,0.0064
281.40,0.0063
281.60,0.0054
281.80,0.0074
282.00,0.0072
282.20,0.0082
282.40,0.0066
282.60,0.0081
282.80,0.0071
283.00,0.0077
283.20,0.0086
283.40,0.0091
283.60,0.0090
283.80,0.0093
284.00,0.0069
284.20,0.0070
284.40,0.0076
284.60,0.0068
284.80,0.0070
285.00,0.0059
285.20,0.0072
285.40,0.0085
285.60,0.0072
285.80,0.0084
286.00,0.0068
286.20,0.0090
286.40,0.0056
286.60,0.0077
286.80,0.0065
287.00,0.0073
287.20,0.0064
287.40,0.0060
287.60,0.0071
287.80,0.0077
288.00,0.0085
288.20,0.0088
288.40,0.0096
288.60,0.0084
288.80,0.0095
289.00,0.0095
289.20,0.0084
289.40,0.0093
289.60,0.0089
289.80,0.0088
290.00,0.0098
290.20,0.0102
290.40,0.0087
290.60,0.0085
290.80,0.0077
291.00,0.0082
291.20,0.0085
291.40,0.0094
291.60,0.0075
291.80,0.0073
292.00,0.0091
292.20,0.0105
292.40,0.0100
292.60,0.0105
292.80,0.0105
293.00,0.0102
293.20,0.0125
293.40,0.0107
293.60,0.0092
