Batch,scan001
EV300,140607
Data Mode,%T  None
Sample,PC_plastic_bottle_%T_190-800
Cycle,Cycle01
Date Collected,7/28/2016
Time Collected,1:51:54PM
Entries,Data Points
nm,%T
534.00,82.9885
535.00,83.0572
536.00,83.0110
537.00,82.9766
538.00,83.0510
539.00,83.0231
540.00,83.0047
541.00,83.0721
542.00,83.1547
543.00,83.1572
544.00,83.2091
545.00,83.2378
546.00,83.3376
547.00,83.4009
548.00,83.4660
549.00,83.4490
550.00,83.4721
551.00,83.6498
552.00,83.7669
553.00,83.7124
554.00,83.8366
555.00,83.8219
556.00,84.0130
557.00,84.0383
558.00,83.9527
559.00,84.1322
560.00,84.2639
561.00,84.1768
562.00,84.1896
563.00,84.3376
564.00,84.3252
565.00,84.4274
566.00,84.4088
567.00,84.3761
568.00,84.5015
569.00,84.6327
570.00,84.7231
571.00,84.6874
572.00,84.5868
573.00,84.6874
574.00,84.6973
575.00,84.8267
576.00,85.0593
577.00,85.0559
578.00,84.9845
579.00,84.9592
580.00,84.9080
581.00,85.1323
582.00,85.1392
583.00,85.1079
584.00,85.1841
585.00,85.1807
586.00,84.9896
587.00,85.3253
588.00,85.4833
589.00,85.5524
590.00,85.2136
591.00,85.3780
592.00,85.2059
593.00,85.2594
594.00,85.3257
595.00,85.2690
596.00,85.1478
597.00,85.4066
598.00,85.3976
599.00,85.3136
600.00,85.3490
601.00,85.4906
602.00,85.4034
603.00,85.3263
604.00,85.2827
605.00,85.3997
606.00,85.4775
607.00,85.5044
608.00,85.6431
609.00,85.4865
610.00,85.5404
611.00,85.5155
612.00,85.5117
613.00,85.5445
614.00,85.5686
615.00,85.6891
616.00,85.7068
617.00,85.6141
618.00,85.7037
619.00,85.6979
620.00,85.7011
621.00,85.7425
622.00,85.8335
623.00,85.5999
624.00,85.7481
625.00,85.6410
626.00,85.5971
627.00,85.7688
628.00,85.6608
629.00,85.6381
630.00,85.5982
631.00,85.7059
632.00,85.6426
633.00,85.8293
634.00,85.6198
635.00,85.6957
636.00,85.7926
637.00,85.7579
638.00,85.8463
639.00,85.8152
640.00,85.7359
641.00,85.8065
642.00,85.7383
643.00,85.5429
644.00,85.8039
645.00,85.6917
646.00,85.4862
647.00,85.6196
648.00,85.4297
649.00,85.5194
650.00,85.9591
651.00,85.6640
652.00,85.4473
653.00,85.6790
654.00,85.6982
655.00,85.8210
656.00,85.6455
657.00,85.8882
658.00,85.6641
659.00,85.7822
660.00,85.4593
661.00,85.7135
662.00,85.7472
663.00,85.7027
664.00,85.7644
665.00,85.8754
666.00,85.6198
667.00,85.6746
668.00,85.5284
669.00,85.5680
670.00,85.4276
671.00,85.4174
672.00,85.4222
673.00,85.2680
674.00,84.9409
675.00,85.3092
676.00,84.9839
677.00,84.9405
678.00,85.2595
679.00,85.1550
680.00,84.9917
681.00,84.9267
682.00,84.9548
683.00,84.3990
684.00,84.4685
685.00,84.5410
686.00,84.4769
687.00,84.2779
688.00,84.1106
689.00,84.3585
690.00,83.9564
691.00,83.9528
692.00,83.9160
693.00,83.9920
694.00,83.7363
695.00,83.7520
696.00,83.7176
697.00,83.4821
698.00,83.3870
699.00,83.4200
700.00,83.5269
701.00,83.2768
702.00,83.4227
703.00,83.3908
704.00,83.5003
705.00,83.5118
706.00,83.5731
707.00,83.6364
708.00,83.7623
709.00,83.8299
710.00,83.9699
711.00,84.0202
712.00,84.0939
713.00,84.1782
714.00,84.4321
715.00,84.3429
716.00,84.4839
717.00,84.5956
718.00,84.6638
719.00,84.8008
720.00,84.9098
721.00,85.0018
722.00,84.7697
723.00,84.8705
724.00,84.7186
725.00,84.9234
726.00,85.1058
727.00,85.2267
728.00,85.3857
729.00,85.1723
730.00,85.1519
731.00,85.0730
732.00,85.0782
733.00,85.3253
734.00,85.0427
735.00,85.3840
736.00,85.1093
737.00,85.2326
738.00,85.4220
739.00,85.2432
740.00,85.3984
741.00,85.4127
742.00,85.5378
743.00,85.1063
744.00,85.2291
745.00,85.4937
746.00,85.4026
747.00,85.5087
748.00,85.3168
749.00,85.5067
750.00,85.4730
751.00,85.7004
752.00,85.4997
753.00,85.7741
754.00,85.7483
755.00,85.5651
756.00,85.6052
757.00,85.8295
758.00,85.9416
759.00,85.7354
760.00,85.7391
761.00,85.7304
762.00,85.8084
763.00,85.7461
764.00,85.8832
765.00,85.8843
766.00,85.9402
767.00,85.8327
768.00,86.4415
769.00,86.1619
770.00,86.2030
771.00,85.9979
772.00,86.0324
773.00,85.9585
774.00,86.5044
775.00,86.0152
776.00,86.2365
777.00,86.1600
778.00,86.3081
779.00,86.5962
780.00,86.2938
781.00,86.1383
782.00,86.8024
783.00,86.4369
784.00,87.1159
785.00,86.7437
786.00,86.7398
787.00,85.9857
788.00,86.4657
789.00,86.7283
790.00,86.4038
791.00,86.3993
792.00,86.8090
793.00,86.9122
794.00,86.9899
795.00,86.6899
796.00,86.4771
797.00,86.7703
798.00,86.5027
799.00,87.1137
800.00,86.6351
