Batch,scan003_Quartz_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Quartz_%T_190_to_800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:32:03PM
Entries,Data Points
nm,%T
258.40,91.8950
258.60,91.7515
258.80,91.9710
259.00,91.8780
259.20,91.7903
259.40,91.8969
259.60,91.8437
259.80,91.8071
260.00,91.9041
260.20,91.9871
260.40,91.9808
260.60,92.1652
260.80,92.1295
261.00,92.2921
261.20,92.3997
261.40,92.4214
261.60,92.4334
261.80,92.4251
262.00,92.5525
262.20,92.6420
262.40,92.5919
262.60,92.4674
262.80,92.5618
263.00,92.6068
263.20,92.5228
263.40,92.8463
263.60,92.6787
263.80,92.7774
264.00,92.7969
264.20,92.8426
264.40,92.7944
264.60,92.6861
264.80,92.9867
265.00,92.7661
265.20,92.8121
265.40,92.8093
265.60,92.9015
265.80,92.6468
266.00,92.8545
266.20,92.8275
266.40,92.8760
266.60,92.8827
266.80,92.7952
267.00,92.8702
267.20,92.7333
267.40,93.1616
267.60,93.0188
267.80,92.8722
268.00,92.9989
268.20,92.8088
268.40,93.0292
268.60,93.1442
268.80,93.0572
269.00,93.2661
269.20,92.9666
269.40,93.2629
269.60,93.0051
269.80,93.2041
270.00,93.1499
270.20,93.2467
270.40,93.1113
270.60,93.2350
270.80,93.1372
271.00,93.1064
271.20,93.1597
271.40,93.2821
271.60,93.3093
271.80,93.3526
272.00,93.3661
272.20,93.3235
272.40,93.3743
272.60,93.4633
272.80,93.3625
273.00,93.3035
273.20,93.1272
273.40,93.3286
273.60,93.3156
273.80,93.1766
274.00,93.4009
274.20,93.4240
274.40,93.3468
274.60,93.3822
274.80,93.3928
275.00,93.1871
275.20,93.3652
275.40,93.5370
275.60,93.4167
275.80,93.5447
276.00,93.4220
276.20,93.3820
276.40,93.6285
276.60,93.6083
276.80,93.5532
277.00,93.7654
277.20,93.4164
277.40,93.6776
277.60,93.5539
277.80,93.5444
278.00,93.6449
278.20,93.5708
278.40,93.4503
278.60,93.6031
278.80,93.6323
279.00,93.5829
279.20,93.5690
279.40,93.7173
279.60,93.5434
279.80,93.5695
280.00,93.8172
280.20,93.6292
280.40,93.5913
280.60,93.7604
280.80,93.6501
281.00,93.6714
281.20,94.0018
281.40,93.6648
281.60,93.6880
281.80,93.6803
282.00,93.7141
282.20,93.5877
282.40,93.8875
282.60,93.9154
282.80,93.9024
283.00,93.7815
283.20,93.9065
283.40,93.9615
283.60,93.8948
283.80,93.7713
284.00,93.7770
284.20,93.9403
284.40,93.6352
284.60,93.7875
284.80,93.6553
285.00,93.8650
285.20,94.0944
285.40,93.9000
285.60,93.7986
285.80,93.7017
286.00,93.8151
286.20,93.9596
286.40,93.8940
286.60,93.7025
286.80,94.0155
287.00,93.7577
287.20,93.7915
287.40,93.7317
287.60,93.8644
287.80,94.1290
288.00,93.9784
288.20,94.0710
288.40,93.9934
288.60,93.9622
288.80,93.9990
289.00,93.8466
289.20,93.8353
289.40,93.5838
289.60,94.0993
289.80,94.0348
290.00,94.0217
290.20,94.0540
290.40,94.0283
290.60,94.0585
290.80,94.0757
291.00,94.0208
291.20,94.0889
291.40,93.9326
291.60,94.2798
291.80,94.1824
292.00,94.0689
292.20,94.2764
292.40,94.2559
292.60,94.2195
292.80,94.2707
293.00,93.9977
293.20,94.3201
293.40,94.2112
293.60,94.3263
293.80,94.1734
