Batch,scan004_Borosilicate_EPA_vial_%T_190_to_800.sre
EV300,140607
Data Mode,%T  None
Sample,Borosil_%T_190-800_after_ZB
Cycle,Cycle01
Date Collected,7/27/2016
Time Collected,2:49:00PM
Entries,Data Points
nm,%T
258.20,0.5310
258.40,0.5530
258.60,0.5776
258.80,0.6090
259.00,0.6326
259.20,0.6610
259.40,0.6887
259.60,0.7162
259.80,0.7446
260.00,0.7749
260.20,0.8053
260.40,0.8310
260.60,0.8611
260.80,0.8895
261.00,0.9174
261.20,0.9560
261.40,0.9961
261.60,1.0320
261.80,1.0823
262.00,1.1294
262.20,1.1873
262.40,1.2326
262.60,1.2841
262.80,1.3391
263.00,1.3859
263.20,1.4389
263.40,1.5030
263.60,1.5554
263.80,1.6170
264.00,1.6802
264.20,1.7449
264.40,1.8044
264.60,1.8791
264.80,1.9629
265.00,2.0386
265.20,2.1263
265.40,2.2078
265.60,2.2874
265.80,2.3730
266.00,2.4680
266.20,2.5626
266.40,2.6661
266.60,2.7640
266.80,2.8576
267.00,2.9530
267.20,3.0477
267.40,3.1589
267.60,3.2603
267.80,3.3761
268.00,3.5071
268.20,3.6331
268.40,3.7644
268.60,3.9046
268.80,4.0355
269.00,4.1818
269.20,4.3102
269.40,4.4765
269.60,4.6159
269.80,4.7878
270.00,4.9454
270.20,5.1116
270.40,5.2782
270.60,5.4682
270.80,5.6497
271.00,5.8702
271.20,6.0894
271.40,6.3015
271.60,6.4871
271.80,6.6646
272.00,6.8409
272.20,6.9947
272.40,7.1936
272.60,7.4177
272.80,7.6690
273.00,7.9116
273.20,8.1466
273.40,8.3989
273.60,8.6318
273.80,8.8683
274.00,9.1297
274.20,9.3944
274.40,9.6559
274.60,9.9342
274.80,10.2153
275.00,10.4901
275.20,10.7982
275.40,11.1394
275.60,11.4296
275.80,11.7673
276.00,12.0698
276.20,12.3613
276.40,12.7200
276.60,13.0182
276.80,13.3557
277.00,13.7331
277.20,14.0533
277.40,14.4292
277.60,14.7727
277.80,15.1125
278.00,15.4712
278.20,15.8465
278.40,16.1954
278.60,16.5981
278.80,16.9853
279.00,17.4216
279.20,17.7987
279.40,18.2283
279.60,18.6450
