PAL1314 calculations of mixed later depth,,
Using criteria of Levitus (1982); MLD = depth at which the temperature difference from the surface is 0.5 deg C,,
,,
Station.Name,Date,MLD.depth.m
B,12/12/13,7
B,12/24/13,5
B,12/27/13,10
B,1/2/14,22
E,12/27/13,15
E,1/2/14,19
