Batch,scan005
EV300,140607
Data Mode,A  None
Sample,"PC_22:0,MeOH,heated"
Cycle,Cycle01
Date Collected,8/10/16
Time Collected,9:30:07PM
Entries,Data Points
nm,A
262.6,0.0919
262.8,0.0907
263,0.0899
263.2,0.0897
263.4,0.0881
263.6,0.0868
263.8,0.0853
264,0.0852
264.2,0.0842
264.4,0.083
264.6,0.082
264.8,0.081
265,0.0803
265.2,0.0796
265.4,0.0787
265.6,0.078
265.8,0.0769
266,0.0759
266.2,0.0754
266.4,0.074
266.6,0.0732
266.8,0.0729
267,0.0726
267.2,0.0723
267.4,0.0719
267.6,0.0716
267.8,0.0712
268,0.0702
268.2,0.0692
268.4,0.0686
268.6,0.0681
268.8,0.0676
269,0.0672
269.2,0.0666
269.4,0.0658
269.6,0.0653
269.8,0.0647
270,0.0641
270.2,0.0632
270.4,0.0627
270.6,0.0622
270.8,0.0618
271,0.0611
271.2,0.0605
271.4,0.0585
271.6,0.0593
271.8,0.0576
272,0.0574
272.2,0.0574
272.4,0.0571
272.6,0.0562
272.8,0.0553
273,0.0544
273.2,0.0539
273.4,0.0534
273.6,0.0527
273.8,0.0525
274,0.0524
274.2,0.0521
274.4,0.0522
274.6,0.0514
274.8,0.0508
275,0.0512
275.2,0.0503
275.4,0.0499
275.6,0.0491
275.8,0.0486
276,0.0483
276.2,0.0478
276.4,0.0475
276.6,0.0468
276.8,0.0466
277,0.0462
277.2,0.0459
277.4,0.0457
277.6,0.0455
277.8,0.0454
278,0.0448
278.2,0.0453
278.4,0.0448
278.6,0.0446
278.8,0.0433
279,0.0438
279.2,0.0432
279.4,0.043
279.6,0.0425
279.8,0.0426
280,0.0418
280.2,0.0427
280.4,0.0417
280.6,0.0417
280.8,0.0409
281,0.0406
281.2,0.0407
281.4,0.0405
281.6,0.0392
281.8,0.0396
282,0.039
282.2,0.0391
282.4,0.0388
282.6,0.0385
282.8,0.0382
283,0.0389
283.2,0.0381
283.4,0.0388
283.6,0.0383
283.8,0.0376
284,0.0381
284.2,0.0391
284.4,0.0396
284.6,0.0396
284.8,0.0396
285,0.04
285.2,0.0403
285.4,0.0404
285.6,0.0399
285.8,0.0399
286,0.04
286.2,0.0394
286.4,0.0394
286.6,0.0401
286.8,0.0394
287,0.0398
287.2,0.0393
287.4,0.0396
287.6,0.0395
287.8,0.0397
288,0.0398
288.2,0.0392
288.4,0.0394
288.6,0.0388
288.8,0.0397
289,0.0396
289.2,0.0393
289.4,0.0398
289.6,0.0401
289.8,0.0405
290,0.0399
290.2,0.0401
290.4,0.0404
290.6,0.0402
290.8,0.0402
291,0.0406
291.2,0.0406
291.4,0.0402
291.6,0.0403
291.8,0.0397
292,0.0408
292.2,0.0404
292.4,0.04
292.6,0.0397
292.8,0.0405
293,0.0402
293.2,0.0398
293.4,0.0397
293.6,0.0393
293.8,0.0392
294,0.0395
294.2,0.0393
294.4,0.0394
294.6,0.039
294.8,0.0387
295,0.0384
295.2,0.0379
295.4,0.0378
295.6,0.0381
295.8,0.038
296,0.0376
296.2,0.0375
296.4,0.0376
296.6,0.0377
296.8,0.037
297,0.0373
297.2,0.0373
297.4,0.0374
297.6,0.0372
297.8,0.0376
298,0.037
298.2,0.0362
298.4,0.0376
298.6,0.0369
298.8,0.0371
299,0.0365
299.2,0.0361
299.4,0.0364
299.6,0.0361
299.8,0.0355
300,0.0359
300.2,0.0357
300.4,0.0357
300.6,0.0355
300.8,0.0344
301,0.035
301.2,0.0346
301.4,0.0343
301.6,0.0343
301.8,0.0341
302,0.0336
302.2,0.0333
302.4,0.0332
302.6,0.0332
302.8,0.0332
303,0.0329
303.2,0.0328
303.4,0.0323
303.6,0.0326
303.8,0.0327
304,0.0327
304.2,0.0324
304.4,0.032
304.6,0.0311
304.8,0.0313
305,0.0318
305.2,0.0311
305.4,0.0311
305.6,0.0307
305.8,0.0302
306,0.0302
306.2,0.0302
306.4,0.0296
306.6,0.0291
306.8,0.0293
307,0.0288
307.2,0.0289
307.4,0.0286
307.6,0.0285
307.8,0.0284
308,0.0281
308.2,0.0277
308.4,0.0281
308.6,0.0278
308.8,0.0275
309,0.0281
309.2,0.0281
309.4,0.0277
309.6,0.0289
309.8,0.0281
310,0.0287
310.2,0.0281
310.4,0.028
310.6,0.028
310.8,0.0275
311,0.0272
311.2,0.0266
311.4,0.0266
311.6,0.0262
311.8,0.0259
312,0.0251
312.2,0.025
312.4,0.0252
312.6,0.0252
312.8,0.0248
313,0.0244
313.2,0.0234
313.4,0.0235
313.6,0.0223
313.8,0.0224
314,0.0224
314.2,0.0216
314.4,0.0213
314.6,0.0212
314.8,0.0206
315,0.0208
315.2,0.0214
315.4,0.0228
315.6,0.024
315.8,0.0238
316,0.0236
316.2,0.0236
316.4,0.0234
316.6,0.0234
316.8,0.0241
317,0.0234
317.2,0.0229
317.4,0.0232
317.6,0.0227
317.8,0.0231
318,0.0226
318.2,0.0228
318.4,0.0231
318.6,0.0221
318.8,0.0222
319,0.0222
319.2,0.0225
319.4,0.0226
319.6,0.0223
319.8,0.0219
320,0.0222
320.2,0.0219
320.4,0.0216
320.6,0.0212
320.8,0.0213
321,0.0213
321.2,0.0203
321.4,0.0208
321.6,0.0214
321.8,0.022
322,0.0207
322.2,0.0203
322.4,0.021
