Wavelength [nm]	epsilon DHA [mol/L/cm]	"epsilon PC 22:0, 22:0 [mol/L/cm]"	"epsilon PC 22:1, 22:1 [mol/L/cm]"	"epsilon PC 22:6, 22:6 [mol/L/cm]"
312.6	11.6014	2.2642	1.3567	21.4279
312.8	11.8921	2.2282	1.3747	21.3401
313.0	11.9890	2.1923	1.3477	21.2523
313.2	11.5045	2.1024	1.3477	21.3401
313.4	11.5045	2.1114	1.3387	21.3401
313.6	11.6014	2.0036	1.3208	21.5158
313.8	11.8921	2.0126	1.3297	21.9549
314.0	11.7952	2.0126	1.3028	21.7792
314.2	11.5045	1.9407	1.3208	22.3940
314.4	12.0859	1.9137	1.3567	22.4818
314.6	11.6983	1.9048	1.3387	22.3940
314.8	11.8921	1.8509	1.2938	22.4818
315.0	11.7952	1.8688	1.3387	22.8331
315.2	12.4735	1.9227	1.3477	23.7112
315.4	12.3766	2.0485	1.2848	23.6234
315.6	11.7952	2.1563	1.3208	23.2722
315.8	11.7952	2.1384	1.3387	23.7991
316.0	12.0859	2.1204	1.2668	23.8869
316.2	11.9890	2.1204	1.3028	23.9747
316.4	12.2797	2.1024	1.2668	24.3260
316.6	12.0859	2.1024	1.2758	23.9747
316.8	11.9890	2.1653	1.2938	24.0625
317.0	11.9890	2.1024	1.2848	24.7651
317.2	11.9890	2.0575	1.2668	24.2382
317.4	12.0859	2.0845	1.2938	24.2382
317.6	12.3766	2.0395	1.2758	24.4138
317.8	11.8921	2.0755	1.2848	23.9747
318.0	11.6983	2.0305	1.2579	23.7991
318.2	11.6014	2.0485	1.3028	23.9747
318.4	11.8921	2.0755	1.2579	23.8869
318.6	11.6014	1.9856	1.2848	23.7112
318.8	11.0200	1.9946	1.2938	23.1843
319.0	11.5045	1.9946	1.2489	23.6234
319.2	11.4076	2.0216	1.2668	22.8331
319.4	11.0200	2.0305	1.2489	22.5696
319.6	11.6983	2.0036	1.2309	22.3940
319.8	11.4076	1.9677	1.2040	22.3061
320.0	10.8262	1.9946	1.2579	22.1305
320.2	11.0200	1.9677	1.1950	21.8670
320.4	10.5355	1.9407	1.2219	21.2523
320.6	10.9231	1.9048	1.1860	21.3401
320.8	10.6324	1.9137	1.2129	20.9010
321.0	10.4386	1.9137	1.2040	20.7254
321.2	10.3417	1.8239	1.1860	20.3741
321.4	9.9541	1.8688	1.1770	19.6716
321.6	9.3727	1.9227	1.2399	19.4959
321.8	9.5665	1.9766	1.2309	18.7934
322.0	8.8882	1.8598	1.1500	18.2664
322.2	9.2758	1.8239	1.1051	18.3543
322.4	8.1130	1.8868	1.1590	17.5639
322.6	9.0820	1.8509	1.1500	17.3004
322.8	8.1130	1.7969	1.1860	16.2466
323.0	8.3068	1.8059	1.1680	16.4222
323.2	7.9192	1.8149	1.1590	15.9831
323.4	8.2099	1.7700	1.1231	15.2806
323.6	7.7254	1.7341	1.1411	15.6319
323.8	7.4347	1.7341	1.1321	14.2267
324.0	7.3378	1.7251	1.1590	14.0511
324.2	7.3378	1.6712	1.1500	14.1389
324.4	7.1440	1.6801	1.1770	13.6120
324.6	5.9812	1.6801	1.1051	12.4704
324.8	6.3688	1.6981	1.1411	12.7338
325.0	6.6595	1.6532	1.0961	12.9973
325.2	5.7874	1.6532	1.1680	12.2947
325.4	6.4657	1.5993	1.0243	12.2947
325.6	5.7874	1.5993	1.1411	11.3287
325.8	5.8843	1.5633	1.0422	10.5383
326.0	5.6905	1.5633	1.0961	10.9774
326.2	5.2060	1.5813	1.0961	9.8358
326.4	5.2060	1.5633	1.0602	9.6601
326.6	5.3029	1.5633	1.0961	9.8358
326.8	5.0122	1.5544	1.1051	8.8698
327.0	4.5278	1.5544	1.0961	8.6941
327.2	4.8184	1.5723	1.1231	8.6941
327.4	4.8184	1.5364	1.1141	8.6941
327.6	4.6246	1.5364	1.1231	8.1672
327.8	4.7215	1.4915	1.0692	8.2550
328.0	4.8184	1.5004	1.0961	7.9916
328.2	3.6557	1.5004	1.0332	7.0256
328.4	3.7526	1.4645	1.0872	7.3768
328.6	3.9464	1.4376	1.0332	6.9377
328.8	3.8495	1.4465	1.0961	6.6743
329.0	3.5588	1.4106	1.0512	6.8499
329.2	4.0433	1.4376	1.0961	6.8499
329.4	4.3340	1.3926	1.1051	7.0256
329.6	3.8495	1.4106	1.0332	6.7621
329.8	3.3650	1.4016	1.0422	6.2352
330.0	3.4619	1.4106	1.0782	5.7961
330.2	3.5588	1.3657	1.0512	5.5326
330.4	3.7526	1.3208	1.0512	6.0595
330.6	3.1712	1.3118	1.0692	5.1813
330.8	2.9774	1.2938	1.0512	5.5326
331.0	2.5898	1.2129	1.0063	4.7422
331.2	2.4929	1.2309	1.0243	4.7422
331.4	3.4619	1.2579	1.0332	5.2692
331.6	2.8805	1.1950	1.0692	5.1813
331.8	3.1712	1.2399	1.0422	5.1813
332.0	2.6867	1.1860	1.0153	4.3032
332.2	2.9774	1.1770	1.0243	4.6544
332.4	3.0743	1.1770	1.0422	4.8301
332.6	2.2991	1.2309	1.0332	3.9519
332.8	2.9774	1.1411	1.0332	4.3910
333.0	1.8146	1.1770	1.0512	3.7762
333.2	2.8805	1.1141	0.9793	4.5666
333.4	1.9115	1.0782	0.9704	3.8641
333.6	2.0084	1.0872	0.9973	3.8641
333.8	2.1053	1.0602	0.9254	3.9519
334.0	1.7177	1.0602	1.0153	4.0397
334.2	2.3960	1.0692	0.9704	4.3032
334.4	2.3960	1.0602	0.9614	4.2153
334.6	2.0084	1.0961	0.9793	3.6884
334.8	2.8805	1.0782	0.9793	4.1275
335.0	1.8146	1.0782	0.9344	3.3371
335.2	1.9115	1.1051	1.0063	3.5128
335.4	2.3960	1.0602	1.0153	3.6006
335.6	2.1053	1.0422	0.9524	3.5128
335.8	1.9115	1.0512	0.9434	3.1615
336.0	1.9115	1.0692	1.0063	3.2493
336.2	1.7177	1.0153	0.9344	3.3371
336.4	1.4270	1.0512	0.9614	2.8102
336.6	1.9115	1.0512	0.9704	3.1615
336.8	1.7177	1.0243	0.9434	3.2493
337.0	1.6208	1.0422	0.9344	3.0737
337.2	1.9115	1.0243	0.9344	3.2493
337.4	2.0084	1.0332	1.0063	3.0737
337.6	1.7177	1.0422	0.9793	2.5468
337.8	1.9115	0.9883	0.9164	2.8102
338.0	1.5239	1.0063	0.9524	3.1615
338.2	1.6208	0.9704	0.9254	3.0737
338.4	1.4270	0.9883	0.9344	2.5468
338.6	2.0084	1.0332	0.9614	3.5128
338.8	1.5239	0.9793	0.9434	2.8980
339.0	1.9115	1.0332	0.9254	3.1615
339.2	1.5239	1.0332	0.9254	2.5468
339.4	1.7177	0.8985	0.8176	2.8102
339.6	1.5239	0.9614	0.9254	2.6346
339.8	2.0084	1.0063	0.9164	2.7224
340.0	1.5239	0.9524	0.9164	2.5468
340.2	1.0394	0.9254	0.8715	2.1077
340.4	1.6208	0.9164	0.8805	2.8102
340.6	1.1363	0.9254	0.8805	2.2833
340.8	1.3301	0.9344	0.8985	2.3711
341.0	1.0394	0.8985	0.8535	2.5468
341.2	1.5239	0.8715	0.8535	2.7224
341.4	1.7177	0.9164	0.8985	2.8102
341.6	1.6208	0.9704	0.9434	2.2833
341.8	1.1363	0.9973	0.9164	1.8442
342.0	1.4270	0.9883	0.9075	2.4589
342.2	1.3301	0.9883	0.9075	2.0198
342.4	1.7177	0.9524	0.9075	2.2833
342.6	1.3301	0.9524	0.8535	2.4589
342.8	1.2332	0.9164	0.8895	2.2833
343.0	1.1363	0.9614	0.9075	2.3711
343.2	1.6208	0.9434	0.9075	2.3711
343.4	0.8456	0.9254	0.8266	2.4589
343.6	1.5239	0.9075	0.8625	2.5468
343.8	1.0394	0.8985	0.8356	2.1955
344.0	0.8456	0.8805	0.8535	2.0198
344.2	1.3301	0.8446	0.7727	2.1955
344.4	0.8456	0.8805	0.8535	2.3711
344.6	0.9425	0.8356	0.8176	2.1955
344.8	0.4580	0.8535	0.8715	1.7564
345.0	1.2332	0.8535	0.8176	1.7564
345.2	0.8456	0.9075	0.8446	1.9320
345.4	0.8456	0.8805	0.8176	2.1077
345.6	1.4270	0.8985	0.9075	2.1955
345.8	1.5239	0.8535	0.8356	2.8102
346.0	1.4270	0.8266	0.8446	2.3711
346.2	1.2332	0.8535	0.8266	2.4589
346.4	1.2332	0.8535	0.8356	2.1955
346.6	1.2332	0.8086	0.7996	2.0198
346.8	1.3301	0.8356	0.8985	2.4589
347.0	1.2332	0.7727	0.7996	2.1955
347.2	0.8456	0.8625	0.8715	2.0198
347.4	0.7487	0.7547	0.8266	1.7564
347.6	1.1363	0.8176	0.8356	2.1077
347.8	1.1363	0.7907	0.8805	1.9320
348.0	0.7487	0.8176	0.8535	2.1077
348.2	1.5239	0.8356	0.8446	2.1077
348.4	0.8456	0.7727	0.8176	2.1077
348.6	0.8456	0.7637	0.7727	1.9320
348.8	1.2332	0.7727	0.8446	2.0198
349.0	1.0394	0.7457	0.8266	1.8442
349.2	0.4580	0.7367	0.7996	1.8442
349.4	0.8456	0.7367	0.7727	1.7564
349.6	1.4270	0.8356	0.8895	1.7564
349.8	0.8456	0.7098	0.7996	2.2833
350.0	0.4580	0.7188	0.8446	1.7564
350.2	1.0394	0.6469	0.7817	1.5807
350.4	1.0394	0.6828	0.8176	1.8442
350.6	0.9425	0.7008	0.7637	2.3711
350.8	0.4580	0.6828	0.7727	1.4051
351.0	0.9425	0.6559	0.7637	2.1955
351.2	0.8456	0.6469	0.7996	2.1955
351.4	1.4270	0.6649	0.7727	2.1077
351.6	1.1363	0.5930	0.7817	2.5468
351.8	0.6518	0.6289	0.7367	1.6686
352.0	0.8456	0.6379	0.7727	1.8442
352.2	0.8456	0.6739	0.8535	1.9320
352.4	0.0703	0.6469	0.7907	1.8442
352.6	1.4270	0.6110	0.8086	1.8442
352.8	1.3301	0.6828	0.8446	2.6346
353.0	0.9425	0.5750	0.7278	2.0198
353.2	1.4270	0.5391	0.8446	2.0198
353.4	0.6518	0.5660	0.7907	1.0538
353.6	0.8456	0.6020	0.7817	1.9320
353.8	0.8456	0.5571	0.7367	1.5807
354.0	0.5549	0.4852	0.7278	1.3173
354.2	0.3611	0.5121	0.7367	1.5807
354.4	1.0394	0.5121	0.7278	2.1955
354.6	0.8456	0.5750	0.8086	1.9320
354.8	0.6518	0.5660	0.7907	1.4051
355.0	0.6518	0.5031	0.7367	1.5807
355.2	0.2642	0.4942	0.8446	1.3173
355.4	1.4270	0.5031	0.7637	2.1077
355.6	1.0394	0.4942	0.7457	1.6686
355.8	0.5549	0.4852	0.8176	1.1417
356.0	0.8456	0.4942	0.7457	2.1955
356.2	0.1673	0.5481	0.8356	1.5807
356.4	0.6518	0.5211	0.8086	1.2295
356.6	0.3611	0.5121	0.8266	1.2295
356.8	1.0394	0.5031	0.8356	1.4929
357.0	1.0394	0.5031	0.7996	1.7564
357.2	0.6518	0.5211	0.7637	1.4929
357.4	0.5549	0.4223	0.7457	1.7564
357.6	1.0394	0.4762	0.7637	1.4051
357.8	0.9425	0.4762	0.7637	1.5807
358.0	0.6518	0.4492	0.7457	1.1417
358.2	0.9425	0.5301	0.7637	1.7564
358.4	0.5549	0.4942	0.7817	1.1417
358.6	0.4580	0.4942	0.7278	1.1417
358.8	0.5549	0.4852	0.7098	1.7564
359.0	0.4580	0.4672	0.7278	1.2295
359.2	0.4580	0.5391	0.7547	1.5807
359.4	1.1363	0.5391	0.7817	1.9320
359.6	0.3611	0.4852	0.7367	1.4929
359.8	0.4580	0.5391	0.8356	1.0538
360.0	0.5549	0.5031	0.7907	1.2295
360.2	0.3611	0.5391	0.8176	1.7564
360.4	0.2642	0.4762	0.7188	0.8782
360.6	0.4580	0.4672	0.7098	1.0538
360.8	-0.2203	0.5211	0.7367	1.1417
361.0	0.2642	0.4762	0.7817	1.4051
361.2	0.6518	0.4762	0.7367	1.1417
361.4	1.0394	0.5031	0.7188	1.3173
361.6	0.5549	0.4492	0.7367	1.6686
361.8	0.4580	0.4492	0.7098	1.4051
362.0	0.6518	0.4762	0.7547	1.2295
362.2	0.0703	0.4582	0.7367	0.8782
362.4	0.2642	0.4852	0.7907	1.3173
362.6	0.3611	0.4852	0.7188	0.9660
362.8	0.1673	0.5031	0.7637	0.6147
363.0	0.0703	0.5481	0.7996	1.0538
363.2	0.2642	0.5121	0.7637	1.1417
363.4	0.7487	0.4852	0.7817	1.6686
363.6	0.2642	0.5121	0.7637	1.1417
363.8	0.3611	0.5121	0.7637	0.6147
364.0	0.6518	0.6020	0.7817	0.7026
364.2	0.1673	0.5391	0.6918	0.7904
364.4	-0.0266	0.5840	0.7637	0.7026
364.6	0.1673	0.5660	0.7727	1.2295
364.8	0.5549	0.5840	0.7727	1.1417
365.0	-0.3172	0.6199	0.7367	0.4391
365.2	0.0703	0.5750	0.7367	1.1417
365.4	-0.0266	0.5660	0.7996	0.5269
365.6	-0.1234	0.5660	0.7637	0.9660
365.8	0.3611	0.5750	0.7637	1.3173
366.0	-0.3172	0.5391	0.8086	0.8782
366.2	-0.1234	0.5031	0.7008	0.8782
366.4	-0.5110	0.5750	0.7996	0.3513
366.6	0.1673	0.5211	0.7907	1.0538
366.8	-0.1234	0.5571	0.7727	0.6147
367.0	-0.3172	0.6020	0.7727	0.4391
367.2	-0.1234	0.5930	0.7637	0.7904
367.4	0.1673	0.5031	0.7188	1.3173
367.6	0.5549	0.5481	0.7457	1.6686
367.8	0.1673	0.5301	0.7637	0.8782
368.0	0.3611	0.5481	0.7367	1.3173
368.2	0.4580	0.5481	0.7907	1.4929
368.4	0.4580	0.5481	0.7637	0.8782
368.6	0.2642	0.5301	0.7367	1.3173
368.8	0.0703	0.4762	0.7547	1.0538
369.0	0.5549	0.4942	0.7098	1.2295
369.2	0.6518	0.4492	0.7547	1.4051
369.4	0.0703	0.5481	0.7727	1.0538
369.6	0.0703	0.5121	0.6918	0.7026
369.8	-0.0266	0.5391	0.7008	0.7904
370.0	-0.3172	0.5840	0.7907	1.2295
370.2	0.2642	0.4852	0.6739	0.7904
370.4	0.2642	0.6110	0.7367	0.6147
370.6	0.4580	0.5750	0.7637	1.4051
370.8	-0.3172	0.5481	0.7278	0.7904
371.0	-0.2203	0.5301	0.7367	0.6147
371.2	0.6518	0.5391	0.7637	0.9660
371.4	0.2642	0.6199	0.7727	0.7904
371.6	0.3611	0.5660	0.7098	0.7904
371.8	0.2642	0.5571	0.6828	1.4929
372.0	0.4580	0.6559	0.8176	1.6686
372.2	0.3611	0.4852	0.7008	1.3173
372.4	-0.4141	0.4672	0.6649	1.4929
372.6	-0.6079	0.4762	0.6828	0.7904
372.8	-0.1234	0.4852	0.6739	1.1417
373.0	1.0394	0.5211	0.6918	1.4051
373.2	-0.0266	0.5031	0.6739	1.0538
373.4	-0.3172	0.5481	0.7098	0.5269
373.6	-0.0266	0.5571	0.7547	0.6147
373.8	-0.5110	0.5660	0.7457	0.2635
374.0	-0.3172	0.4672	0.7098	1.1417
374.2	-0.4141	0.5121	0.7367	0.1756
374.4	0.4580	0.4852	0.6828	0.8782
374.6	-0.1234	0.4043	0.6110	0.0878
374.8	-0.1234	0.4672	0.6828	0.7026
375.0	0.2642	0.5211	0.7907	0.7904
375.2	-0.4141	0.5660	0.7457	0.5269
375.4	-0.0266	0.4762	0.6739	0.7026
375.6	-0.5110	0.4582	0.6828	0.2635
375.8	-0.1234	0.4492	0.7278	0.7904
376.0	-0.0266	0.4672	0.6110	1.0538
376.2	0.5549	0.4942	0.6649	0.5269
376.4	-0.0266	0.4313	0.6828	0.9660
376.6	-1.0924	0.4582	0.6020	0.2635
376.8	-0.0266	0.5301	0.6828	0.1756
377.0	-0.1234	0.5301	0.6469	0.3513
377.2	-0.4141	0.5930	0.7188	0.5269
377.4	-0.2203	0.5660	0.6918	0.7904
377.6	-0.2203	0.5750	0.7098	0.7026
377.8	0.0703	0.6020	0.6649	1.3173
378.0	-0.1234	0.5571	0.6559	-0.0878
378.2	-0.5110	0.5660	0.6739	0.6147
378.4	-0.0266	0.6020	0.7367	0.1756
378.6	-0.1234	0.5840	0.7278	1.0538
378.8	0.0703	0.6289	0.7008	0.7904
379.0	-0.0266	0.5660	0.6379	0.8782
379.2	-0.3172	0.6289	0.7278	0.7026
379.4	-0.3172	0.5571	0.7188	0.3513
379.6	-0.6079	0.5391	0.6649	0.6147
379.8	-0.3172	0.6020	0.7727	0.9660
380.0	-0.4141	0.5930	0.7547	0.7026
380.2	-0.5110	0.5211	0.6739	0.6147
380.4	0.3611	0.5031	0.6739	0.9660
380.6	-0.5110	0.5481	0.7008	0.6147
380.8	-0.4141	0.5211	0.7367	0.7026
381.0	-1.0924	0.4852	0.6559	0.5269
381.2	-0.7048	0.5391	0.7008	0.2635
381.4	-0.7048	0.5211	0.6918	0.1756
381.6	0.0703	0.4942	0.6918	0.6147
381.8	-0.7048	0.4672	0.6649	0.6147
382.0	0.0703	0.5660	0.7278	0.0878
382.2	-0.5110	0.4133	0.6649	0.1756
382.4	0.1673	0.4762	0.6828	0.9660
382.6	-0.4141	0.4762	0.7188	0.5269
382.8	-0.0266	0.4223	0.6739	0.6147
383.0	-0.1234	0.4672	0.6469	0.4391
383.2	0.2642	0.4672	0.6649	0.5269
383.4	-0.5110	0.4492	0.7278	0.0878
383.6	-0.4141	0.4313	0.7008	0.6147
383.8	-0.2203	0.4403	0.6739	0.5269
384.0	-0.0266	0.3863	0.6828	1.2295
384.2	-0.2203	0.4223	0.6289	0.6147
384.4	-0.2203	0.4672	0.7008	0.2635
384.6	-0.3172	0.3594	0.6379	1.0538
384.8	-0.0266	0.4672	0.7008	0.5269
385.0	0.1673	0.3594	0.6469	0.9660
385.2	0.3611	0.4582	0.6828	0.4391
385.4	-0.5110	0.3594	0.6289	0.5269
385.6	-0.8986	0.3863	0.7188	0.4391
385.8	-0.1234	0.3235	0.6649	0.3513
386.0	-0.4141	0.3055	0.6649	0.5269
386.2	-0.2203	0.3145	0.6559	0.9660
386.4	-0.3172	0.2695	0.7008	0.8782
386.6	-0.1234	0.2785	0.6289	0.5269
386.8	-0.2203	0.1887	0.5930	0.7904
387.0	-0.3172	0.2426	0.6289	0.6147
387.2	-0.6079	0.2156	0.6559	0.1756
387.4	0.1673	0.2336	0.7098	0.9660
387.6	-0.9955	0.2426	0.5750	0.0878
387.8	-0.5110	0.2965	0.6739	0.7904
388.0	-0.1234	0.2156	0.6289	1.1417
388.2	-0.0266	0.2246	0.6739	0.7026
388.4	0.2642	0.2516	0.6739	0.7904
388.6	-0.5110	0.1887	0.6379	0.4391
388.8	-0.4141	0.2606	0.6469	0.3513
389.0	-0.3172	0.2426	0.6828	0.7026
389.2	-0.0266	0.1977	0.6110	0.4391
389.4	-0.7048	0.1977	0.6020	0.6147
389.6	-0.6079	0.1977	0.6289	0.5269
389.8	0.1673	0.2336	0.6739	0.5269
390.0	-0.6079	0.1617	0.6289	0.6147
390.2	-0.2203	0.2066	0.6649	0.7904
390.4	-0.5110	0.2066	0.6469	0.2635
390.6	0.0703	0.2336	0.6559	0.5269
390.8	-0.4141	0.1797	0.6289	0.6147
391.0	-0.2203	0.1797	0.6469	0.4391
391.2	0.1673	0.2426	0.6649	0.7026
391.4	-0.0266	0.1707	0.6649	1.0538
391.6	-0.3172	0.2156	0.6559	0.7904
391.8	-0.0266	0.1797	0.6469	0.6147
392.0	-0.0266	0.2426	0.6828	0.9660
392.2	-0.2203	0.1438	0.6559	0.7904
392.4	0.2642	0.2156	0.6649	0.9660
392.6	-0.2203	0.2426	0.6739	0.8782
392.8	0.2642	0.1797	0.6649	0.6147
393.0	-0.1234	0.1797	0.6289	0.9660
393.2	-0.2203	0.2516	0.7008	0.4391
393.4	-0.3172	0.2516	0.6828	0.3513
393.6	-0.0266	0.2606	0.6289	0.7026
393.8	-0.3172	0.2516	0.6379	0.8782
394.0	-0.2203	0.2156	0.6379	0.8782
394.2	-0.1234	0.2426	0.6739	0.9660
394.4	-0.0266	0.1707	0.5930	0.6147
394.6	0.0703	0.2246	0.6289	0.7026
394.8	-0.2203	0.2426	0.6649	0.3513
395.0	0.0703	0.2426	0.6828	1.3173
395.2	0.0703	0.2516	0.6649	0.9660
395.4	-0.2203	0.2336	0.6739	0.5269
395.6	-0.8017	0.2516	0.6289	0.6147
395.8	-0.8017	0.1887	0.5930	0.7026
396.0	-0.4141	0.2695	0.7278	0.7026
396.2	-1.0924	0.2336	0.6739	0.7026
396.4	-0.2203	0.2426	0.7008	0.8782
396.6	-0.7048	0.2066	0.6918	0.3513
396.8	-0.0266	0.2156	0.7098	0.7026
397.0	-0.3172	0.2246	0.6379	0.4391
397.2	0.0703	0.2426	0.6469	1.0538
397.4	-0.4141	0.2156	0.6469	0.8782
397.6	0.0703	0.2785	0.6918	0.9660
397.8	-0.5110	0.2875	0.6918	0.0000
398.0	-0.6079	0.2695	0.7188	0.6147
398.2	-0.2203	0.2066	0.6110	0.7904
398.4	0.0703	0.1527	0.6828	0.4391
398.6	0.1673	0.1797	0.5660	0.9660
398.8	-0.6079	0.1977	0.6110	0.6147
399.0	-0.4141	0.1797	0.6918	0.0878
399.2	-0.5110	0.2785	0.7008	0.6147
399.4	-0.7048	0.2066	0.6020	0.5269
399.6	-0.2203	0.2336	0.6918	0.9660
399.8	-0.6079	0.2156	0.5840	0.7904
400.0	-0.4141	0.2606	0.6559	0.4391
400.2	-0.2203	0.2156	0.7278	1.1417
400.4	-0.2203	0.2156	0.6828	0.6147
400.6	-0.5110	0.1617	0.6379	0.3513
400.8	-0.7048	0.1887	0.6918	0.0000
401.0	-0.0266	0.1707	0.6199	0.6147
401.2	0.0703	0.2246	0.6289	0.8782
401.4	0.3611	0.1527	0.6289	0.7026
401.6	-1.0924	0.1797	0.6379	0.6147
401.8	-0.4141	0.1707	0.6828	0.9660
402.0	-0.4141	0.1977	0.7098	0.8782
402.2	-0.0266	0.2336	0.6918	0.8782
402.4	-0.3172	0.1617	0.6289	1.0538
402.6	-0.2203	0.1887	0.6739	0.3513
402.8	-0.4141	0.1887	0.6289	0.7026
403.0	-0.8017	0.2246	0.6739	0.7026
403.2	0.1673	0.1617	0.6289	0.8782
403.4	-0.5110	0.1887	0.6020	0.6147
403.6	-0.7048	0.1707	0.6199	1.0538
403.8	-0.1234	0.1348	0.5750	0.8782
404.0	-0.0266	0.1977	0.6199	0.5269
404.2	0.0703	0.2066	0.6469	1.0538
404.4	-0.3172	0.1617	0.6379	0.9660
404.6	0.0703	0.1887	0.6289	0.7904
404.8	-0.8017	0.2246	0.7008	0.4391
405.0	0.0703	0.2246	0.6379	0.7904
405.2	-0.0266	0.2246	0.6739	0.6147
405.4	-0.5110	0.2066	0.6739	0.4391
405.6	0.0703	0.1617	0.6649	0.8782
405.8	-0.7048	0.1797	0.6289	0.6147
406.0	-0.3172	0.1887	0.6469	0.9660
406.2	-0.0266	0.1797	0.6739	0.4391
406.4	-0.7048	0.1707	0.6918	0.3513
406.6	-0.6079	0.1887	0.6559	0.1756
406.8	-0.1234	0.1438	0.6739	0.8782
407.0	-0.2203	0.2156	0.6469	0.7026
407.2	-0.8017	0.2246	0.6649	0.0878
407.4	-0.9955	0.1527	0.6649	0.6147
407.6	-0.4141	0.1617	0.6110	0.5269
407.8	-0.6079	0.1438	0.6469	0.7904
408.0	-0.3172	0.1707	0.6110	0.9660
408.2	-0.2203	0.1258	0.6828	1.1417
408.4	-0.6079	0.1617	0.6739	0.6147
408.6	-0.1234	0.0988	0.6199	0.7904
408.8	-0.2203	0.1168	0.6649	0.9660
409.0	-0.3172	0.1258	0.6828	0.3513
409.2	-0.4141	0.1527	0.6739	0.6147
409.4	-0.2203	0.1438	0.6828	0.8782
409.6	-0.8986	0.1438	0.6918	0.3513
409.8	-0.6079	0.1078	0.6199	0.4391
410.0	-0.1234	0.1438	0.6559	0.8782
410.2	-0.3172	0.1168	0.6828	0.1756
410.4	-0.3172	0.1168	0.6828	0.7026
410.6	-0.4141	0.0988	0.6559	0.7904
410.8	-1.0924	0.1527	0.6649	0.2635
411.0	-0.2203	0.1527	0.6649	0.8782
411.2	-0.4141	0.1797	0.6559	0.8782
411.4	-0.4141	0.1078	0.6828	0.4391
411.6	-0.2203	0.1707	0.6828	0.7026
411.8	-0.4141	0.1707	0.6739	0.6147
412.0	-0.0266	0.1707	0.6739	1.0538
412.2	-0.5110	0.1527	0.6559	0.9660
412.4	-0.4141	0.1797	0.6469	0.2635
412.6	0.0703	0.1348	0.6469	1.1417
412.8	0.5549	0.1527	0.6469	0.7904
413.0	-0.0266	0.1707	0.6918	1.3173
413.2	0.3611	0.1348	0.6559	1.1417
413.4	-0.3172	0.1438	0.7008	0.7904
413.6	-0.1234	0.1887	0.6918	1.1417
413.8	0.0703	0.1617	0.6379	0.8782
414.0	-0.2203	0.1617	0.6469	0.7026
414.2	-0.5110	0.1527	0.6469	0.3513
414.4	-0.4141	0.1438	0.6559	0.7026
414.6	-0.4141	0.1348	0.5930	0.5269
414.8	-0.7048	0.1797	0.6379	0.5269
415.0	-0.4141	0.1527	0.6559	0.7904
415.2	0.0703	0.1348	0.6289	0.8782
415.4	0.1673	0.1707	0.6379	1.0538
415.6	-0.2203	0.1797	0.6289	0.6147
415.8	0.1673	0.1438	0.6020	1.4929
416.0	-0.8017	0.1527	0.6379	0.2635
416.2	-0.5110	0.1617	0.6649	0.7026
416.4	-0.0266	0.1797	0.5840	0.5269
416.6	-0.5110	0.1797	0.6379	0.4391
416.8	-0.7048	0.2066	0.6469	0.7026
417.0	-0.1234	0.3414	0.6289	0.8782
417.2	-0.4141	0.3684	0.6199	0.4391
417.4	-0.3172	0.3774	0.6289	0.8782
417.6	-0.5110	0.3863	0.6020	0.7026
417.8	-0.2203	0.3774	0.6110	0.7026
418.0	-0.1234	0.4043	0.6289	0.9660
418.2	-0.2203	0.3863	0.5930	0.4391
418.4	-0.0266	0.4133	0.5750	0.3513
418.6	-0.1234	0.4133	0.6559	0.7026
418.8	-0.6079	0.4492	0.6199	0.7026
419.0	-0.3172	0.4492	0.6289	0.6147
419.2	-0.4141	0.4223	0.6379	0.7904
419.4	-0.2203	0.4492	0.6469	0.7026
419.6	-0.4141	0.4133	0.6379	0.6147
419.8	-0.4141	0.3774	0.6379	0.6147
420.0	-0.2203	0.3953	0.6379	0.5269
420.2	-0.4141	0.3684	0.6110	0.4391
420.4	-0.4141	0.4223	0.6649	0.5269
420.6	-0.4141	0.3953	0.6289	0.7904
420.8	-0.3172	0.4313	0.6559	0.5269
421.0	-0.4141	0.3863	0.6379	0.7904
421.2	-0.0266	0.4133	0.6559	0.3513
421.4	-0.8017	0.4223	0.6469	0.7904
421.6	-0.6079	0.3863	0.6289	0.3513
421.8	-0.1234	0.3684	0.6379	0.7904
422.0	-0.5110	0.4223	0.6559	0.4391
422.2	-0.5110	0.4133	0.6559	0.3513
422.4	-0.1234	0.4403	0.6469	0.2635
422.6	-0.3172	0.3774	0.6559	0.7026
422.8	-0.4141	0.3774	0.6199	0.4391
423.0	-0.9955	0.4043	0.6379	0.0000
423.2	-0.4141	0.3953	0.6469	0.5269
423.4	-0.1234	0.3863	0.6469	0.5269
423.6	-0.4141	0.3953	0.6289	0.6147
423.8	-0.5110	0.4133	0.6110	0.5269
424.0	-0.6079	0.4403	0.6649	0.5269
424.2	-0.3172	0.3414	0.6020	0.2635
424.4	-0.8017	0.4133	0.6110	0.7026
424.6	-1.0924	0.3594	0.6020	0.1756
424.8	-0.8017	0.4133	0.6379	0.1756
425.0	-0.3172	0.4043	0.6199	0.7026
425.2	-0.6079	0.4043	0.6379	0.3513
425.4	-0.2203	0.4223	0.6020	0.7904
425.6	-0.4141	0.4043	0.6469	0.5269
425.8	-0.6079	0.4223	0.6110	0.4391
426.0	-0.8986	0.4223	0.6199	0.3513
