Wavelength [nm]	DAC down [1/m] (Ocean Optics Jaz spectrophotometer)	Uncertainty in DAC down [1/m] (Ocean Optics Jaz spectrophotometer)	DAC down [1/m] (fitted)
384.9	0.15	0.02	
385.2	0.15	0.02	
385.6	0.15	0.02	
385.9	0.15	0.02	
386.3	0.15	0.02	
386.7	0.15	0.02	
387.0	0.15	0.02	
387.4	0.16	0.02	
387.8	0.15	0.02	
388.1	0.15	0.02	
388.5	0.15	0.02	
388.8	0.15	0.02	
389.2	0.15	0.02	
389.6	0.15	0.02	
389.9	0.15	0.02	
390.3	0.15	0.02	
390.7	0.15	0.02	
391.0	0.15	0.02	
391.4	0.15	0.02	
391.7	0.15	0.02	
392.1	0.15	0.02	
392.5	0.15	0.02	
392.8	0.15	0.02	
393.2	0.15	0.02	
393.6	0.15	0.02	
393.9	0.15	0.02	
394.3	0.15	0.02	
394.6	0.15	0.02	
395.0	0.15	0.02	
395.4	0.15	0.02	
395.7	0.15	0.02	
396.1	0.15	0.02	
396.5	0.15	0.02	
396.8	0.15	0.02	
397.2	0.15	0.02	
397.5	0.15	0.02	
397.9	0.15	0.02	
398.3	0.15	0.02	
398.6	0.15	0.02	
399.0	0.15	0.02	
399.3	0.15	0.02	
399.7	0.15	0.02	
400.1	0.15	0.02	
400.4	0.15	0.02	
400.8	0.15	0.02	
401.2	0.15	0.02	
401.5	0.16	0.02	
401.9	0.16	0.02	
402.2	0.16	0.02	
402.6	0.16	0.02	
403.0	0.16	0.02	
403.3	0.16	0.02	
403.7	0.16	0.02	
404.0	0.16	0.02	
404.4	0.16	0.02	
404.8	0.16	0.02	
405.1	0.16	0.02	
405.5	0.16	0.02	
405.8	0.16	0.02	
406.2	0.16	0.02	
406.6	0.16	0.02	
406.9	0.16	0.02	
407.3	0.16	0.02	
407.7	0.16	0.02	
408.0	0.16	0.02	
408.4	0.16	0.02	
408.7	0.16	0.02	
409.1	0.16	0.02	
409.5	0.16	0.02	
409.8	0.16	0.02	
410.2	0.16	0.02	
410.5	0.16	0.02	
410.9	0.16	0.02	
411.3	0.16	0.02	
411.6	0.16	0.02	
412.0	0.16	0.02	
412.3	0.16	0.02	
412.7	0.16	0.02	
413.1	0.16	0.02	
413.4	0.16	0.02	
413.8	0.16	0.02	
414.1	0.16	0.02	
414.5	0.16	0.02	
414.9	0.17	0.02	
415.2	0.17	0.02	
415.6	0.17	0.02	
415.9	0.17	0.02	
416.3	0.17	0.02	
416.7	0.17	0.02	
417.0	0.17	0.02	
417.4	0.17	0.02	
417.7	0.17	0.02	
418.1	0.17	0.02	
418.5	0.17	0.02	
418.8	0.17	0.02	
419.2	0.17	0.02	
419.5	0.17	0.02	
419.9	0.17	0.02	
420.3	0.17	0.02	
420.6	0.17	0.02	
421.0	0.17	0.02	
421.3	0.17	0.02	
421.7	0.17	0.02	
422.1	0.17	0.02	
422.4	0.17	0.02	
422.8	0.17	0.02	
423.1	0.17	0.02	
423.5	0.17	0.02	
423.9	0.17	0.02	
424.2	0.17	0.02	
424.6	0.17	0.02	
424.9	0.17	0.02	
425.3	0.17	0.02	
425.6	0.17	0.02	
426.0	0.17	0.02	
426.4	0.17	0.02	
426.7	0.17	0.02	
427.1	0.17	0.02	
427.4	0.17	0.02	
427.8	0.17	0.02	
428.2	0.17	0.02	
428.5	0.17	0.03	
428.9	0.17	0.03	
429.2	0.17	0.03	
429.6	0.17	0.03	
430.0	0.17	0.03	
430.3	0.17	0.03	
430.7	0.17	0.03	
431.0	0.17	0.03	
431.4	0.17	0.03	
431.7	0.17	0.03	
432.1	0.17	0.03	
432.5	0.17	0.03	
432.8	0.17	0.03	
433.2	0.17	0.03	
433.5	0.17	0.03	
433.9	0.17	0.03	
434.3	0.17	0.03	
434.6	0.17	0.03	
435.0	0.17	0.03	
435.3	0.17	0.03	
435.7	0.17	0.03	
436.0	0.17	0.03	
436.4	0.17	0.03	
436.8	0.17	0.03	
437.1	0.17	0.03	
437.5	0.17	0.03	
437.8	0.17	0.03	
438.2	0.17	0.03	
438.5	0.17	0.03	
438.9	0.17	0.03	
