"","Wavelength_nm","Kd_per_meter","Kd_per_meter.sd","Kd_per_meter_fitted"
"250.184174",250.184174,NA,NA,NA
"250.558716",250.558716,NA,NA,NA
"250.933243",250.933243,NA,NA,NA
"251.307755",251.307755,NA,NA,NA
"251.682236",251.682236,NA,NA,NA
"252.056671",252.056671,NA,NA,NA
"252.431061",252.431061,NA,NA,NA
"252.80545",252.80545,NA,NA,NA
"253.17984",253.17984,NA,NA,NA
"253.554138",253.554138,NA,NA,NA
"253.928436",253.928436,NA,NA,NA
"254.302719",254.302719,NA,NA,NA
"254.676956",254.676956,NA,NA,NA
"255.051163",255.051163,NA,NA,NA
"255.425339",255.425339,NA,NA,NA
"255.7995",255.7995,NA,NA,NA
"256.173645",256.173645,NA,NA,NA
"256.54776",256.54776,NA,NA,NA
"256.921783",256.921783,NA,NA,NA
"257.295837",257.295837,NA,NA,NA
"257.66983",257.66983,NA,NA,NA
"258.043793",258.043793,NA,NA,NA
"258.417786",258.417786,NA,NA,NA
"258.791687",258.791687,NA,NA,NA
"259.165588",259.165588,NA,NA,NA
"259.539459",259.539459,NA,NA,NA
"259.9133",259.9133,NA,NA,NA
"260.287079",260.287079,NA,NA,NA
"260.660889",260.660889,NA,NA,NA
"261.034576",261.034576,NA,NA,NA
"261.408325",261.408325,NA,NA,NA
"261.782013",261.782013,NA,NA,NA
"262.15567",262.15567,NA,NA,NA
"262.529327",262.529327,NA,NA,NA
"262.902924",262.902924,NA,NA,NA
"263.276459",263.276459,NA,NA,NA
"263.650024",263.650024,NA,NA,NA
"264.023529",264.023529,NA,NA,NA
"264.397034",264.397034,NA,NA,NA
"264.770477",264.770477,NA,NA,NA
"265.14389",265.14389,NA,NA,NA
"265.517334",265.517334,NA,NA,NA
"265.890656",265.890656,NA,NA,NA
"266.264008",266.264008,NA,NA,NA
"266.637329",266.637329,NA,NA,NA
"267.01059",267.01059,NA,NA,NA
"267.38382",267.38382,NA,NA,NA
"267.75705",267.75705,NA,NA,NA
"268.130249",268.130249,NA,NA,NA
"268.503448",268.503448,NA,NA,NA
"268.876526",268.876526,NA,NA,NA
"269.249634",269.249634,NA,NA,NA
"269.622711",269.622711,NA,NA,NA
"269.995728",269.995728,NA,NA,NA
"270.368774",270.368774,NA,NA,NA
"270.74176",270.74176,NA,NA,NA
"271.114716",271.114716,NA,NA,NA
"271.48764",271.48764,NA,NA,NA
"271.860535",271.860535,NA,NA,NA
"272.233398",272.233398,NA,NA,NA
"272.606232",272.606232,NA,NA,NA
"272.979004",272.979004,NA,NA,NA
"273.351807",273.351807,NA,NA,NA
"273.724548",273.724548,NA,NA,NA
"274.097229",274.097229,NA,NA,NA
"274.46994",274.46994,NA,NA,NA
"274.84259",274.84259,NA,NA,NA
"275.215271",275.215271,NA,NA,NA
"275.58786",275.58786,NA,NA,NA
"275.960388",275.960388,NA,NA,NA
"276.332947",276.332947,NA,NA,NA
"276.705444",276.705444,NA,NA,NA
"277.077911",277.077911,NA,NA,NA
"277.450348",277.450348,NA,NA,NA
"277.822784",277.822784,NA,NA,NA
"278.19519",278.19519,NA,NA,NA
"278.567535",278.567535,NA,NA,NA
"278.93985",278.93985,NA,NA,NA
"279.312164",279.312164,NA,NA,NA
"279.684448",279.684448,NA,NA,NA
"280.056641",280.056641,NA,NA,NA
"280.428864",280.428864,NA,NA,NA
"280.801056",280.801056,NA,NA,NA
"281.173187",281.173187,NA,NA,NA
"281.545319",281.545319,NA,NA,NA
"281.917389",281.917389,NA,NA,NA
"282.289459",282.289459,NA,NA,NA
"282.661499",282.661499,NA,NA,NA
"283.033447",283.033447,NA,NA,NA
"283.405457",283.405457,NA,NA,NA
"283.777405",283.777405,NA,NA,NA
"284.149292",284.149292,NA,NA,NA
"284.521179",284.521179,NA,NA,NA
"284.893005",284.893005,NA,NA,NA
"285.264832",285.264832,NA,NA,NA
"285.636627",285.636627,NA,NA,NA
"286.008362",286.008362,NA,NA,NA
"286.380096",286.380096,NA,NA,NA
"286.751801",286.751801,NA,NA,NA
"287.123474",287.123474,NA,NA,NA
"287.495117",287.495117,NA,NA,NA
"287.866699",287.866699,NA,NA,NA
"288.238281",288.238281,NA,NA,NA
"288.609833",288.609833,NA,NA,NA
"288.981323",288.981323,NA,NA,NA
"289.352814",289.352814,NA,NA,NA
"289.724274",289.724274,NA,NA,0.492985330431502
"290.095673",290.095673,NA,NA,0.490269326664704
"290.467102",290.467102,NA,NA,0.487568068599554
"290.83844",290.83844,NA,NA,0.484882350117559
"291.209778",291.209778,NA,NA,0.48221142563917
"291.581085",291.581085,NA,NA,0.479555434806944
"291.952332",291.952332,NA,NA,0.476914498652432
"292.323578",292.323578,NA,NA,0.474288113322556
"292.694794",292.694794,NA,NA,0.471676402075793
"293.065979",293.065979,NA,NA,0.469079288760944
"293.437134",293.437134,NA,NA,0.466496683672163
"293.808228",293.808228,NA,NA,0.46392871856101
"294.179291",294.179291,NA,NA,0.461375102302534
"294.550385",294.550385,NA,NA,0.458835330408464
"294.921387",294.921387,NA,NA,0.456310163875758
"295.292358",295.292358,NA,NA,0.453799103668534
"295.663361",295.663361,NA,NA,0.451301646926629
"296.034271",296.034271,NA,NA,0.448818555672099
"296.405212",296.405212,NA,NA,0.446348920726846
"296.776031",296.776031,NA,NA,0.443893680558698
"297.146881",297.146881,NA,NA,0.44145174241435
"297.5177",297.5177,NA,NA,0.439023440249958
"297.888458",297.888458,NA,NA,0.436608891660157
"298.259216",298.259216,NA,NA,0.434207622645792
"298.629944",298.629944,NA,NA,0.431819752870149
"299.000641",299.000641,NA,NA,0.429445212908479
"299.371307",299.371307,NA,NA,0.427083927277381
"299.741913",299.741913,NA,NA,0.424736004146311
"300.112518",300.112518,NA,NA,0.422400995166589
"300.483063",300.483063,NA,NA,0.420079197942638
"300.853577",300.853577,NA,NA,0.417770355506054
"301.224091",301.224091,NA,NA,0.415474202946576
"301.594543",301.594543,NA,NA,0.413191051581307
"301.964996",301.964996,NA,NA,0.410920440683222
"302.335419",302.335419,NA,NA,0.408662489849465
"302.70575",302.70575,NA,NA,0.406417502321491
"303.076111",303.076111,NA,NA,0.404184667266757
"303.446442",303.446442,NA,NA,0.401964278658674
"303.816681",303.816681,NA,NA,0.39975663481992
"304.186951",304.186951,NA,NA,0.397560932344421
"304.55719",304.55719,NA,NA,0.395377472297303
"304.927368",304.927368,NA,NA,0.393206360900678
"305.297516",305.297516,NA,NA,0.391047346095176
