"","Date_raw_julian","Date_GMT","Date_simple","DD_UVB_est_at_0.6m_kJ_m2","DD_UVA_est_at_0.6m_kJ_m2"
"8676",41622.66667,2013-12-14 16:00:00,2013-12-14,16.9449390256939,1043.63253435328
"8677",41623.66667,2013-12-15 16:00:00,2013-12-15,19.9550536925781,1151.24642745408
"8678",41624.66667,2013-12-16 16:00:00,2013-12-16,17.6838663921171,1003.29291911814
"8679",41625.66667,2013-12-17 16:00:00,2013-12-17,19.358251280016,1094.53750678904
"8680",41626.66667,2013-12-18 16:00:00,2013-12-18,21.3901297756547,1139.14926724489
"8681",41627.66667,2013-12-19 16:00:00,2013-12-19,21.1838216137003,1180.43809881055
"8682",41628.66667,2013-12-20 16:00:00,2013-12-20,24.9737272398043,1412.55252638003
"8683",41629.66667,2013-12-21 16:00:00,2013-12-21,24.208106932762,1303.60896919794
"8684",41630.66667,2013-12-22 16:00:00,2013-12-22,21.4933267582285,1192.39295934866
"8685",41631.66667,2013-12-23 16:00:00,2013-12-23,17.7965954297563,968.890688241604
"8686",41632.66667,2013-12-24 16:00:00,2013-12-24,17.4579130315941,1074.71112721893
"8687",41633.66667,2013-12-25 16:00:00,2013-12-25,23.5794267698193,1405.29662655447
"8688",41634.66667,2013-12-26 16:00:00,2013-12-26,21.4704329790613,1335.73780730261
"8689",41635.66667,2013-12-27 16:00:00,2013-12-27,23.7701776026716,1427.12686871792
"8690",41636.66667,2013-12-28 16:00:00,2013-12-28,26.6008891048532,1535.13738599115
"8691",41637.66667,2013-12-29 16:00:00,2013-12-29,17.2937321216017,925.203976591478
"8692",41638.66667,2013-12-30 16:00:00,2013-12-30,23.6466846214375,1291.47678648197
